央视频道,#genre#
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8#http://cctvcnch5ca.v.wscdns.com/live/cctv1_2/10793.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226247/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-2,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8#https://cctvcnch5ca.v.wscdns.com/live/cctv2_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3,http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctv3_2/index.m3u8?contentid=2820180516001#http://cctvcnch5ca.v.wscdns.com/live/cctv3_2/10793.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225719/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#https://cctvksh5ca.v.kcdnvip.com/clive/cctv4_2/index.m3u8?contentid=2820180516001#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4欧洲,https://cctvcnch5ca.v.wscdns.com/live/cctveurope_2/index.m3u8?contentid=2820180516001#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV-4美洲,https://cctvbsh5ca.v.live.baishancdnx.cn/live/cctvamerica_2/index.m3u8?contentid=2820180516001#https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-5,http://39.134.39.39/PLTV/88888888/224/3221226151/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225752/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225753/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225754/index.m3u8#http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5+,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226221/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8#https://cctvksh5ca.v.kcdnvip.com/clive/cctv7_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226257/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv8_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8#https://cctvcnch5ca.v.wscdns.com/live/cctv10_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv13_2/index.m3u8?contentid=2820180516001#http://39.134.66.88/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvchild_2/index.m3u8?contentid=2820180516001#http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.19.28/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-15,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225513/index.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctv15_2/index.m3u8?contentid=2820180516001
CCTV-16,http://223.110.236.59/ott.js.chinamobile.com/PLTV/3/224/3221228112/index.m3u8#http://223.110.236.55/ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8#http://39.134.66.88/PLTV/88888888/224/3221225893/index.m3u8
